Accession Number	Prosite Hits	Prosite Confidence	Prosite Codes	Pfam Hits	Pfam Codes	Pfam Clan Names	Pfam Clan Numbers	Pfam E-vals	Blast Hits	Blast E-vals	Prints Hits	Print Codes	Function	Comments	GO Codes
ABO11136	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00007,PS00008	Putative MetA-pathway of phenol degradation	PF13557.5	Outer membrane beta-barrel protein superfamily	CL0193	1.7e-05	FilC [Acinetobacter baumannii ATCC 17978],hypothetical protein [Acinetobacter seifertii],hypothetical protein F985_03950 [Acinetobacter seifertii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],pilus assembly protein [Acinetobacter baumannii MSP4-16],hypothetical protein ACIN5162_0814 [Acinetobacter baumannii OIFC0162]	0.0,5e-180,1e-179,3e-173,3e-173,4e-173,4e-173,5e-173,6e-173,8e-173	Glutathione peroxidase family signature,Universal stress protein signature	GLUTPROXDASE,UNVRSLSTRESS	transposase	dependent on PH and acts to cleave peptidases at cysteine. Peptidase cleavage is a redox reaction, and this acts as a reductase. Similar to Legumain protein	GO:0004803
ABO11146	Casein kinase II phosphorylation site,N-myristoylation site	1	PS00006,PS00008	noresult	noresult	noresult	noresult	noresult	hypothetical protein [Acinetobacter baumannii],peptidase C13 family protein [Acinetobacter baumannii 1406750],putative membrane protein [Acinetobacter baumannii ATCC 17978],peptidase C13 family protein [Acinetobacter baumannii ABNIH16],peptidase C13 family protein, partial [Acinetobacter baumannii],peptidase C13 family protein [Acinetobacter baumannii 24845_9],peptidase C13 family protein [Acinetobacter baumannii 25253_5],peptidase C13, partial [Acinetobacter baumannii],hypothetical protein, partial [Acinetobacter baumannii],peptidase C13 family protein, partial [Acinetobacter baumannii]	2e-47,2e-47,3e-47,4e-47,2e-45,2e-45,3e-45,9e-45,2e-44,2e-44	FAD-dependent pyridine nucleotide reductase signature	FADPNR	cysteine peptidase	cystein peptidase (cleaves at cystein) [blast/pfam/prints]	GO:0008233
ABO11145	Caspase family p20 domain profile,Prokaryotic membrane lipoprotein lipid attachment site profile	2	PS50208,PS51257	Peptidase C13 family	PF01650.17	Peptidase clan CD	CL0093	1.3e-17	putative membrane protein [Acinetobacter baumannii ATCC 17978],peptidase C13 [Acinetobacter baumannii],peptidase C13 family protein [Acinetobacter baumannii],peptidase C13 [Acinetobacter baumannii],peptidase C13 [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],peptidase C13 family protein [Acinetobacter baumannii],peptidase C13, partial [Acinetobacter baumannii],peptidase C13 [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Hemoglobinase (C13) cysteine protease signature	HEMOGLOBNASE	hemoglobinase	involved in lipid attachment. In c13 family (very strong blast hits), lipid attachment(prosite), pfam (c13 family), hemoglobinase c13, no clearly known function for hemoglobinase, however we speculate it is part of the lipid attachment pathway which is also involved in secretion pathways effecting many changes to host cell physiology during infection (prints)	GO:0008233
ABO13685	GGDEF domain profile	3	PS50887	Diguanylate cyclase	PF00990.20	Nucleotide cyclase superfamily	CL0276	1.6e-39	GGDEF family protein [Acinetobacter baumannii NCGM 237],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Cell division protein FtsZ signature,Phytochrome signature,DNA topoisomerase II family signature,DNA gyrase subunit B signature	CELLDVISFTSZ,PHYTOCHROME,TPI2FAMILY,DNAGYRASEB	regulatory protein (diguanylate cyclase)	GGDEF Domain (prosite) present in multidomain proteins containing regulatory domains of signaling pathways. Generally part of Gprotein signaling cascade. Involved in transducing cell division signal (prints), very low blast values and GGDEF family protein (blast), nucleotide cyclase superfamily (pfam)	GO:0006351
ABO10850	Ribosomal protein L31 signature	3	PS01143	Ribosomal protein L31	PF01197.17	noresult	noresult	6e-24	50S ribosomal protein L31 [Acinetobacter baumannii NCGM 237],MULTISPECIES: 50S ribosomal protein L31 type B [Acinetobacter calcoaceticus/baumannii complex],50S ribosomal protein L31 [Acinetobacter baumannii],MULTISPECIES: 50S ribosomal protein L31 type B [Acinetobacter calcoaceticus/baumannii complex],50S ribosomal protein L31 [Acinetobacter baumannii],50S ribosomal protein L31 type B [Acinetobacter baumannii],50S ribosomal protein L31 type B [Acinetobacter baumannii],50S ribosomal protein L31 type B [Acinetobacter baumannii],50S ribosomal protein L31 [Acinetobacter baumannii],50S ribosomal protein L31 [Acinetobacter baumannii]	2e-56,3e-56,4e-56,6e-56,7e-56,9e-56,1e-55,1e-55,1e-55,1e-55	Ribosomal protein L31 signature,Sugar transporter signature,70kDa heat shock protein signature	RIBOSOMALL31,SUGRTRNSPORT,HEATSHOCK70	ribosomal protein	Larger subunit of 70S ribosome in prokaryotes. Involved in protein folding. All databases gave ribosome protein as the best hit	GO:0003735
ABO10859	Putative AMP-binding domain signature	3	PS00455	AMP-binding enzyme,AMP-binding enzyme C-terminal domain	PF00501.27,PF13193.5	ANL superfamily,AMP-binding enzyme C-terminal domain superfamily	CL0378,CL0531	2.7e-61,1.1e-07	long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii],long-chain-acyl-CoA synthetase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	AMP-binding signature,FAD-dependent pyridine nucleotide reductase signature,Erythrocruorin family signature ,Fibronectin type III repeat signature,Ankyrin repeat signature,LanC-like protein superfamily signature,SH2 domain signature,Epoxide hydrolase signature,SH3 domain signature,RecA protein signature	AMPBINDING,FADPNR,ERYTHCRUORIN,FNTYPEIII,ANKYRIN,LANCSUPER,SH2DOMAIN,EPOXHYDRLASE,SH3DOMAIN,RECA	amp binding enzyme (nucleotide binding) [thioester synthesis]	Members of this superfamily catalyse the initial adenylation of a carboxylate to form an acyl-AMP intermediate, followed by a second partial reaction, most commonly the formation of a thioester. All databases gave AMP-binding enzyme as primary function, and part of the ANL superfamily (PFAM). 	GO:0000166
ABO12981	N-glycosylation site,Protein kinase C phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00008	Protein of unknown function 	PF10615.8	noresult	noresult	2.5e-05	putative siderophore-interacting protein [Acinetobacter baumannii ATCC 17978],NADPH-dependent ferric siderophore reductase [Acinetobacter baumannii],MULTISPECIES: NADPH-dependent ferric siderophore reductase [Acinetobacter],MULTISPECIES: NADPH-dependent ferric siderophore reductase [Acinetobacter],NADPH-dependent ferric siderophore reductase [Acinetobacter baumannii],phage tail protein [Acinetobacter soli],NADPH-dependent ferric siderophore reductase [Acinetobacter rudis],hypothetical protein F952_02489 [Acinetobacter baylyi DSM 14961 = CIP 107474],MULTISPECIES: siderophore-interacting protein [Acinetobacter],siderophore-interacting protein [Acinetobacter nectaris]	2e-102,3e-87,3e-87,3e-87,3e-87,1e-80,2e-71,5e-71,7e-71,9e-57	Disease resistance protein signature,Ankyrin repeat signature,Xeroderma pigmentosum group G/yeast RAD superfamily signature	DISEASERSIST,ANKYRIN,XPGRADSUPER	disease resistance (siderophore intereacting protein, used in obtaining iron))	no pfam hits, siderophore interacting protein (relatively low blast value), disease resistance (prints)	GO:0046872
ABO11577	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site	1	PS00005,PS00006	noresult	noresult	noresult	noresult	noresult	Site-specific DNA methylase-like protein [Acinetobacter baumannii ATCC 17978],site-specific DNA methylase [Paramecium bursaria Chlorella virus CVG-1],Uncharacterised protein [Streptococcus suis],site-specific DNA methylase [Paramecium bursaria Chlorella virus AP110A],hypothetical protein SORDD24_01945 [Streptococcus oralis],hypothetical protein MT325_M361R [Paramecium bursaria chlorella virus MT325],hypothetical protein NY2A_b695L [Paramecium bursaria Chlorella virus NY2A]	0.0,1e-12,2e-08,8e-07,1e-05,0.24,0.48	Ankyrin repeat signature,DnaJ domain signature	ANKYRIN,JDOMAIN	methyl transferase	Methyl transferase (blast), ankyrin repeat: found in proteins of diverse function such as transcriptional initiators, cell-cycle regulators, cytoskeletal, ion transporters and signal transducers, often these are activated through methylation (transciption initiators)[prints]	GO:0016740
ABO11575	N-glycosylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00006,PS00008	Putative antitoxin of bacterial toxin-antitoxin system	PF15943.4	Helix-turn-helix clan	CL0123	3.8e-19	hypothetical protein [Acinetobacter towneri],hypothetical protein [Acinetobacter gyllenbergii],hypothetical protein [Moraxella phage Mcat4],hypothetical protein [beta proteobacterium L13],hypothetical protein [Chromobacterium haemolyticum],hypothetical protein [Psychrobacter glacincola],hypothetical protein [Oligella urethralis],Cro protein [Aggregatibacter actinomycetemcomitans],hypothetical protein [Chromobacterium vaccinii],hypothetical protein [Chromobacterium vaccinii]	8e-29,3e-28,8e-24,5e-16,6e-16,3e-15,7e-15,7e-14,8e-14,8e-14	noresult	noresult	transposase	Putative antitoxin of bacterial toxin-antitoxin system (pfam)	GO:0009403
ABO11573	Prokaryotic membrane lipoprotein lipid attachment site profile	3	PS51257	noresult	noresult	noresult	noresult	noresult	hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein AB237_1047 [Acinetobacter baumannii NCGM 237],MULTISPECIES: hypothetical protein [Acinetobacter],hypothetical protein [Acinetobacter pittii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	9e-103,5e-101,1e-100,1e-100,2e-100,2e-100,3e-100,3e-100,3e-100,4e-100	Ankyrin repeat signature,Paraneoplastic encephalomyelitis antigen family signature,Type II EGF-like signature	ANKYRIN,HUDSXLRNA,EGFBLOOD	lipid attachment site	involved in lipid attachment (prosite) through cleavage of amino acids (reduction), uses ANKYRIN methylation (prints), in order to catalyze lipid attachment	GO:0005886
